UserId,product_list
611,"[12407770, 11407170, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
635,"[13039516, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
640,"[12360454, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
654,"[11659990, 11660004, 12658686, 11659326, 13038826, 11659490, 12657718, 12658512, 11659934, 11659972]"
661,"[12407770, 12658616, 13038820, 11659860, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
666,"[12657724, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
669,"[13039516, 12407742, 12360444, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
683,"[11360934, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
687,"[13039524, 13039780, 13039822, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
689,"[13039482, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
691,"[12406936, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
714,"[11659624, 12407010, 13038648, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
718,"[13039792, 13038974, 13039490, 12658620, 12657584, 12360426, 13039024, 14122832, 13039516, 12407770]"
735,"[12407770, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
741,"[13039896, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
743,"[11659770, 12657626, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
756,"[12407834, 12658482, 12658402, 12658452, 12371378, 12360426, 13039024, 14122832, 13039516, 12407770]"
771,"[12407694, 12658418, 12657432, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
773,"[12360464, 11659552, 12407642, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
794,"[12407388, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
846,"[13039848, 12407742, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
852,"[12360436, 12658194, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
857,"[12407382, 12657448, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
861,"[12406964, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
866,"[12657338, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
871,"[12406906, 12407382, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
878,"[12657782, 12657802, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
892,"[11659146, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
894,"[12407684, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
925,"[12407568, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
926,"[11659530, 11659626, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
928,"[12988634, 11659456, 12658150, 12658148, 12658462, 12360426, 13039024, 14122832, 13039516, 12407770]"
957,"[13039848, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
958,"[13039598, 12406990, 13039908, 11659520, 13039078, 13038868, 12360426, 13039024, 14122832, 13039516]"
959,"[13039574, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
969,"[12407656, 12322654, 12407678, 11659640, 12371386, 13039580, 11659780, 12360426, 13039024, 14122832]"
1002,"[13039720, 13039566, 12360444, 12407818, 11659736, 13039508, 12360426, 13039024, 14122832, 13039516]"
1017,"[12657448, 12407132, 11659934, 11145740, 11658986, 12371298, 12658516, 14121828, 12657704, 12406892]"
1023,"[13039792, 12407742, 12658348, 12658332, 11659806, 12407824, 12360426, 13039024, 14122832, 13039516]"
1041,"[12371378, 12407762, 12407728, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
1048,"[13039878, 12657776, 13039898, 12657772, 12658406, 12657766, 12407734, 12360464, 12658426, 12360426]"
1051,"[11659438, 12658616, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
1066,"[13039502, 13039440, 13039442, 12658358, 13039538, 13038828, 13039570, 12406870, 12360426, 13039024]"
1074,"[11407382, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1076,"[12371306, 12407694, 12658228, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
1077,"[13039848, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1097,"[12407802, 13064980, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
1104,"[11360784, 12658336, 12407730, 12407108, 12407356, 11714538, 11460972, 11660122, 11714464, 12657966]"
1145,"[12657528, 11603772, 12407926, 11659972, 11714676, 12360384, 11659966, 11148902, 11407140, 11659146]"
1159,"[12407030, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1190,"[13064966, 13039782, 13038956, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
1198,"[14122744, 13039026, 12658326, 12407924, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
1202,"[12658476, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1203,"[13039478, 13039712, 13039774, 13038824, 13039034, 13773572, 13039750, 13202656, 13039762, 13039740]"
1210,"[11659106, 12407408, 12658138, 11659336, 12406906, 12657788, 12406882, 11461022, 12407512, 11603836]"
1236,"[11659632, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1251,"[11714676, 11659402, 11659404, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
1260,"[12406872, 11460780, 11659334, 11659192, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
1261,"[11659248, 12407132, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
1263,"[14101712, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1269,"[12658352, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1270,"[12099206, 12396550, 12360426, 12322644, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
1283,"[13039706, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1308,"[12406880, 12406890, 13650124, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
1324,"[13038974, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1347,"[12407028, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1383,"[12360388, 12658490, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
1387,"[13039578, 13039878, 13039892, 13039894, 13038868, 13038954, 12658420, 12360426, 13039024, 14122832]"
1399,"[13039050, 13038822, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
1408,"[12407624, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1409,"[13039534, 13039896, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
1429,"[11603772, 11603770, 12696926, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
1442,"[12947666, 13039574, 13039474, 13038818, 13038948, 13038720, 13039830, 13039656, 13038962, 13039886]"
1451,"[13653624, 13038886, 13038942, 13038950, 12658486, 12658536, 12360426, 13039024, 14122832, 13039516]"
1484,"[11659020, 13038648, 13038850, 14121830, 12657596, 12360426, 13039024, 14122832, 13039516, 12407770]"
1492,"[12655600, 12657726, 11658984, 12407924, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
1500,"[13039066, 12995878, 13773572, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
1503,"[12657772, 11659340, 12407512, 12657794, 12407236, 12406880, 12407016, 12360448, 12360426, 13039024]"
1506,"[13039540, 13039688, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
1509,"[13039512, 13039554, 13039782, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
1515,"[12371378, 11659764, 12360414, 12371382, 12658302, 12407458, 12371354, 12407404, 13039802, 12322654]"
1546,"[13039032, 12371374, 11407204, 12658482, 12657382, 12407368, 12360426, 13039024, 14122832, 13039516]"
1550,"[11460894, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1552,"[12371338, 12407880, 12658676, 12657494, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
1567,"[11659204, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1572,"[12658620, 12657770, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
1574,"[13039540, 13039440, 13039460, 11714500, 11659632, 12360426, 13039024, 14122832, 13039516, 12407770]"
1593,"[11660002, 13039574, 12407738, 12657706, 13039888, 12360426, 13039024, 14122832, 13039516, 12407770]"
1594,"[11714694, 12371932, 12657558, 12658394, 11141306, 11652760, 12360426, 13039024, 14122832, 13039516]"
1603,"[13039916, 13039474, 13039080, 13038946, 13038824, 12657650, 12407852, 12437310, 12657494, 12657526]"
1605,"[11659630, 12658144, 11659022, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
1607,"[12407790, 12371378, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
1609,"[11659472, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1637,"[12407008, 12407368, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
1660,"[13039440, 13039894, 12406940, 12407010, 11460742, 13039106, 13039096, 12407742, 12407828, 11461108]"
1668,"[13039516, 11714540, 12407796, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
1709,"[14122822, 13039848, 13039548, 13039748, 12658358, 13039516, 13039690, 13039024, 13039470, 12407742]"
1713,"[12658588, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1733,"[13038882, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1755,"[12657366, 12406930, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
1756,"[11147252, 11361056, 11603770, 11360894, 11407374, 11603772, 11407382, 11481078, 11460686, 11481086]"
1766,"[11659806, 12658450, 12658496, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
1773,"[12658438, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1791,"[12657780, 12658202, 12658204, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
1803,"[11148922, 11360884, 11360912, 12657532, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
1808,"[12371378, 11460792, 11659158, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
1813,"[13039774, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1816,"[12657434, 12371342, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
1831,"[11659838, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1847,"[11360758, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1864,"[13039088, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1895,"[12406862, 12406906, 12371248, 12407224, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
1896,"[12407188, 13039440, 13039442, 13202646, 13202670, 12360426, 13039024, 14122832, 13039516, 12407770]"
1897,"[11481086, 11481076, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
1916,"[13039760, 13039834, 12658476, 12658484, 12658394, 12360426, 13039024, 14122832, 13039516, 12407770]"
1920,"[12407158, 11460676, 12407176, 12407742, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
1925,"[12995878, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
1969,"[12407400, 12407398, 11659168, 11714670, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
1980,"[13039536, 11407282, 12658258, 12658270, 12360398, 12407800, 12360426, 13039024, 14122832, 13039516]"
1981,"[13039516, 11659624, 12658684, 12657612, 12658676, 13038650, 12371376, 12360452, 11659052, 11659048]"
1990,"[13039618, 13038974, 13038980, 13039706, 13038932, 12407324, 12657752, 13039672, 13039602, 13039624]"
2004,"[12658296, 12658376, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
2008,"[12658204, 12658676, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
2012,"[12407814, 12407834, 12658464, 11361056, 11461042, 12406874, 13039106, 13039104, 13039100, 11659562]"
2019,"[12407742, 12658406, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
2023,"[13039100, 13039088, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
2037,"[11659026, 11659988, 11481020, 12658138, 12658586, 12407638, 12360426, 13039024, 14122832, 13039516]"
2038,"[12658616, 12407390, 12407400, 12322658, 12658512, 12360426, 13039024, 14122832, 13039516, 12407770]"
2067,"[13653596, 13039536, 13038874, 14122834, 13039634, 13081770, 13039442, 13039450, 13653564, 13653604]"
2074,"[13202646, 12657442, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
2076,"[12657360, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2082,"[13039496, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2091,"[12407444, 12407830, 12407016, 11659234, 11659206, 12658300, 12360426, 13039024, 14122832, 13039516]"
2110,"[14122744, 13038870, 13653606, 13039778, 13038854, 12407148, 13039934, 13039104, 13039528, 13039880]"
2124,"[12658512, 11407162, 11480974, 12360388, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
2150,"[12360380, 12360392, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
2152,"[13039742, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2155,"[12658300, 12658400, 11659128, 11714426, 11659126, 11659468, 12322664, 11360770, 12658332, 12360426]"
2172,"[12407794, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2177,"[13038882, 13038880, 13038886, 13202648, 13039840, 13039838, 13039650, 12657618, 12658518, 12360426]"
2192,"[13038648, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2196,"[11714682, 11658986, 11659934, 11714428, 11659882, 11659464, 12360426, 13039024, 14122832, 13039516]"
2207,"[14122834, 13039052, 13039934, 13039922, 13039928, 12657766, 11660000, 13038978, 13039020, 13064964]"
2215,"[12658416, 12407394, 11659742, 12658464, 11659716, 12360426, 13039024, 14122832, 13039516, 12407770]"
2218,"[12407398, 12407400, 11659964, 11659306, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
2224,"[12657732, 12658398, 12406904, 12658328, 12407814, 12407744, 12322666, 12407754, 11659532, 12658420]"
2234,"[13039474, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2237,"[11659742, 12658586, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
2240,"[12657366, 11659306, 11407382, 13038648, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
2251,"[13039896, 13038878, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
2259,"[12658494, 11659742, 12360446, 11659688, 11659834, 12658364, 12360426, 13039024, 14122832, 13039516]"
2274,"[12407888, 12407780, 12407800, 12407436, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
2300,"[12657612, 12657656, 12657648, 11659312, 11659158, 11407280, 12360426, 13039024, 14122832, 13039516]"
2309,"[13038962, 12407818, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
2317,"[12657340, 11659838, 13039100, 12407524, 11659236, 11603798, 11714602, 11659024, 12360426, 13039024]"
2335,"[12407788, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2348,"[13039548, 13039650, 12658436, 12360420, 12407620, 11659854, 12360426, 13039024, 14122832, 13039516]"
2366,"[11659706, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2387,"[13653564, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2388,"[12407024, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2400,"[11659836, 13039806, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
2406,"[12658368, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2414,"[12407006, 12407398, 12407350, 11659218, 11659252, 12407008, 12360426, 13039024, 14122832, 13039516]"
2421,"[13039028, 13039038, 11659218, 11659216, 12407444, 13773576, 14121832, 14121828, 13038892, 12658386]"
2450,"[11659220, 12657384, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
2458,"[12657732, 12657746, 12657758, 12658480, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
2471,"[11407382, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2482,"[12407742, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2513,"[12657534, 13038942, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
2516,"[12407030, 11714306, 12371378, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
2518,"[11659654, 11659330, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
2519,"[11659834, 12658246, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
2524,"[13038956, 13039774, 11360932, 12406976, 12407476, 12407480, 12407478, 12360426, 13039024, 14122832]"
2527,"[13038648, 11659966, 12406862, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
2530,"[12407356, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2532,"[12371378, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2542,"[12658228, 11659776, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
2554,"[11659780, 12657434, 12657436, 11659056, 11659342, 12360426, 13039024, 14122832, 13039516, 12407770]"
2573,"[12407340, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2601,"[12658292, 11659628, 12658308, 12407696, 11407274, 12407674, 12658314, 12658294, 12360398, 12658604]"
2608,"[11714680, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2632,"[13039688, 13039656, 13039696, 12407780, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
2648,"[12407770, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2663,"[12371256, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2664,"[11407140, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2667,"[11360912, 12658426, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
2751,"[13039646, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2754,"[12407154, 11360674, 12658030, 12407116, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
2766,"[13039922, 12658370, 11659550, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
2777,"[12658230, 13038820, 12658486, 13039404, 13039518, 13039820, 12407774, 12371386, 13039828, 12658462]"
2779,"[13039662, 13039560, 13038942, 11660008, 13038882, 13038858, 13039842, 11659780, 12658404, 11360760]"
2801,"[13039830, 13039656, 13039498, 13064966, 13038854, 13038892, 13039566, 11407262, 12322646, 11659622]"
2820,"[12360374, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2830,"[13039706, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2871,"[12658084, 12322660, 11659248, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
2880,"[11659630, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2886,"[13038858, 13039840, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
2894,"[12407194, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2898,"[12657900, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2915,"[12407006, 12407400, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
2961,"[12657408, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
2970,"[12407382, 11481024, 12406904, 12407436, 11659002, 12407354, 12360426, 13039024, 14122832, 13039516]"
2974,"[11360882, 11335962, 11659526, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
3000,"[12436886, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
3010,"[13039520, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
3018,"[13039528, 13038848, 13038968, 12360450, 13039652, 13038850, 12407534, 13039520, 12655600, 11659042]"
3041,"[13039540, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
3046,"[11659148, 11659362, 12657440, 11659602, 11659570, 11659558, 12360426, 13039024, 14122832, 13039516]"
3050,"[12658138, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
